"date","package","count"
2026-03-10,"bs4Dashkit",3
2026-03-11,"bs4Dashkit",22
2026-03-12,"bs4Dashkit",10
2026-03-13,"bs4Dashkit",8
2026-03-14,"bs4Dashkit",47
2026-03-15,"bs4Dashkit",7
2026-03-16,"bs4Dashkit",2
2026-03-17,"bs4Dashkit",43
2026-03-18,"bs4Dashkit",9
2026-03-19,"bs4Dashkit",11
2026-03-20,"bs4Dashkit",51
2026-03-21,"bs4Dashkit",15
2026-03-22,"bs4Dashkit",9
2026-03-23,"bs4Dashkit",44
2026-03-24,"bs4Dashkit",2
2026-03-25,"bs4Dashkit",20
2026-03-26,"bs4Dashkit",46
2026-03-27,"bs4Dashkit",7
2026-03-28,"bs4Dashkit",4
2026-03-29,"bs4Dashkit",43
2026-03-30,"bs4Dashkit",42
2026-03-31,"bs4Dashkit",79
2026-04-01,"bs4Dashkit",38
2026-04-02,"bs4Dashkit",9
2026-04-03,"bs4Dashkit",6
2026-04-04,"bs4Dashkit",6
2026-04-05,"bs4Dashkit",40
2026-04-06,"bs4Dashkit",6
2026-04-07,"bs4Dashkit",5
2026-04-08,"bs4Dashkit",45
2026-04-09,"bs4Dashkit",5
2026-04-10,"bs4Dashkit",23
2026-04-11,"bs4Dashkit",42
2026-04-12,"bs4Dashkit",6
2026-04-13,"bs4Dashkit",3
2026-04-14,"bs4Dashkit",44
2026-04-15,"bs4Dashkit",5
2026-04-16,"bs4Dashkit",3
2026-04-17,"bs4Dashkit",45
2026-04-18,"bs4Dashkit",4
2026-04-19,"bs4Dashkit",3
2026-04-20,"bs4Dashkit",3
2026-04-21,"bs4Dashkit",57
2026-04-22,"bs4Dashkit",21
2026-04-23,"bs4Dashkit",12
2026-04-24,"bs4Dashkit",15
2026-04-25,"bs4Dashkit",46
2026-04-26,"bs4Dashkit",11
2026-04-27,"bs4Dashkit",6
2026-04-28,"bs4Dashkit",4
2026-04-29,"bs4Dashkit",37
2026-04-30,"bs4Dashkit",24
2026-05-01,"bs4Dashkit",20
2026-05-02,"bs4Dashkit",13
2026-05-03,"bs4Dashkit",10
2026-05-04,"bs4Dashkit",46
2026-05-05,"bs4Dashkit",7
2026-05-06,"bs4Dashkit",2
2026-05-07,"bs4Dashkit",4
2026-05-08,"bs4Dashkit",45
2026-05-10,"bs4Dashkit",8
2026-05-11,"bs4Dashkit",45
2026-05-12,"bs4Dashkit",9
2026-05-13,"bs4Dashkit",4
2026-05-14,"bs4Dashkit",44
2026-05-15,"bs4Dashkit",7
2026-05-16,"bs4Dashkit",2
2026-05-17,"bs4Dashkit",44
2026-05-18,"bs4Dashkit",9
2026-05-19,"bs4Dashkit",14
2026-05-20,"bs4Dashkit",2
2026-05-21,"bs4Dashkit",44
2026-05-22,"bs4Dashkit",3
2026-05-23,"bs4Dashkit",8
2026-05-24,"bs4Dashkit",1
2026-05-25,"bs4Dashkit",43
2026-05-26,"bs4Dashkit",2
2026-05-27,"bs4Dashkit",3
2026-05-28,"bs4Dashkit",5
2026-05-29,"bs4Dashkit",41
2026-05-30,"bs4Dashkit",4
2026-05-31,"bs4Dashkit",5
2026-06-01,"bs4Dashkit",6
2026-06-02,"bs4Dashkit",42
2026-06-03,"bs4Dashkit",4
2026-06-04,"bs4Dashkit",4
2026-06-05,"bs4Dashkit",9
2026-06-06,"bs4Dashkit",50
2026-06-07,"bs4Dashkit",10
2026-06-08,"bs4Dashkit",9
2026-06-09,"bs4Dashkit",10
2026-06-10,"bs4Dashkit",46
2026-06-11,"bs4Dashkit",9
2026-06-12,"bs4Dashkit",5
2026-06-13,"bs4Dashkit",5
2026-06-14,"bs4Dashkit",60
2026-06-15,"bs4Dashkit",1
2026-06-16,"bs4Dashkit",3
2026-06-17,"bs4Dashkit",4
2026-06-18,"bs4Dashkit",46
2026-06-19,"bs4Dashkit",12
2026-06-20,"bs4Dashkit",8
2026-06-21,"bs4Dashkit",2
2026-06-22,"bs4Dashkit",35
2026-06-23,"bs4Dashkit",3
2026-06-24,"bs4Dashkit",1
2026-06-25,"bs4Dashkit",3
2026-06-26,"bs4Dashkit",26
2026-06-27,"bs4Dashkit",5
2026-06-28,"bs4Dashkit",8
2026-06-29,"bs4Dashkit",7
2026-06-30,"bs4Dashkit",5
2026-07-01,"bs4Dashkit",24
2026-07-02,"bs4Dashkit",52
2026-07-03,"bs4Dashkit",8
2026-07-04,"bs4Dashkit",13
2026-07-05,"bs4Dashkit",45
2026-07-06,"bs4Dashkit",8
2026-07-07,"bs4Dashkit",9
2026-07-08,"bs4Dashkit",2
2026-07-09,"bs4Dashkit",6
2026-07-10,"bs4Dashkit",1
2026-07-11,"bs4Dashkit",6
2026-07-12,"bs4Dashkit",4
2026-07-13,"bs4Dashkit",22
2026-07-14,"bs4Dashkit",11
2026-07-15,"bs4Dashkit",4
2026-07-16,"bs4Dashkit",7
2026-07-17,"bs4Dashkit",4
2026-07-18,"bs4Dashkit",6
2026-07-19,"bs4Dashkit",3
2026-07-20,"bs4Dashkit",4
2026-07-21,"bs4Dashkit",13
2026-07-22,"bs4Dashkit",12
2026-07-23,"bs4Dashkit",2
2026-07-24,"bs4Dashkit",11
2026-07-25,"bs4Dashkit",2
2026-07-26,"bs4Dashkit",6
2026-07-27,"bs4Dashkit",4
2026-07-28,"bs4Dashkit",1
2026-07-29,"bs4Dashkit",5
2026-07-30,"bs4Dashkit",4
2026-07-31,"bs4Dashkit",4
2026-08-01,"bs4Dashkit",1
2026-08-02,"bs4Dashkit",6
2026-08-03,"bs4Dashkit",1
2026-08-04,"bs4Dashkit",1
2026-08-05,"bs4Dashkit",18
2026-08-06,"bs4Dashkit",3
2026-08-08,"bs4Dashkit",9
2026-08-09,"bs4Dashkit",16
2026-08-10,"bs4Dashkit",7
2026-08-11,"bs4Dashkit",3
2026-08-12,"bs4Dashkit",15
2026-08-13,"bs4Dashkit",9
2026-08-14,"bs4Dashkit",2
2026-08-15,"bs4Dashkit",13
2026-08-16,"bs4Dashkit",2
2026-08-17,"bs4Dashkit",11
2026-08-18,"bs4Dashkit",14
2026-08-19,"bs4Dashkit",1
2026-08-20,"bs4Dashkit",3
2026-08-21,"bs4Dashkit",19
2026-08-22,"bs4Dashkit",8
